name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Pawan Putra,4.2,Kankurgachhi,East Kolkata,"1,700 for 2 (approx)",Chinese,North Indian,Continental
Chai Break - Kankurgachi,4.4,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,Italian,Mexican
Go Green,4.1,Kankurgachhi,East Kolkata,"1,200 for 2 (approx)",Italian,North Indian,Chinese
The Tunnel,4.2,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,North Indian,Continental
ChaiApps,3.5,Phool Bagan,North Kolkata,400 for 2 (approx),Continental,Italian,Fast Food
Goofys Cafe,4.3,Maniktala,North Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Italian
Fantastic Food Story,4.3,Hati Bagan,North Kolkata,800 for 2 (approx),Chinese,North Indian,Continental
Food Station,4.3,College Street,North Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,South Indian
Cave Cafe & Lounge,4.1,Girish Park,North Kolkata,800 for 2 (approx),Fast Food,Chinese,Beverages
C/o. Bangali,4.2,Hati Bagan,North Kolkata,800 for 2 (approx),Bengali,North Indian,Chinese
Jungle Safari,4.3,"Mani Square,",Kankurgachhi,"1,700 for 2 (approx)",North Indian,Bengali,Seafood
The 2nd Story Cafe And Lounge,4.3,Salt Lake,East Kolkata,"1,100 for 2 (approx)",Chinese,North Indian,Fast Food
Bengal Dhaba,4.3,Ultadanga,North Kolkata,"1,100 for 2 (approx)",Chinese,North Indian,Bengali
Uno Pizzeria & Grill,4.4,Kankurgachhi,East Kolkata,"2,200 for 2 (approx)",American,Italian,Continental
"The Swig - Raajkutir, Swabhumi",3.6,Kankurgachhi,East Kolkata,"1,500 for 2 (approx)",Finger Food,North Indian,Beverages
Soul Kitchen,3.6,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",Continental,North Indian,Chinese
Raadium Cafe,3.5,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,North Indian,Fast Food
The Bhoj Company,4.3,B B D Bagh,Central Kolkata,600 for 2 (approx),Bengali,Chinese,North Indian
Be Kebabii,4.4,Entally,Central Kolkata,400 for 2 (approx),North Indian,Mughlai,Chinese
Waterside Cafe,4.2,"Hyatt Regency,",Salt Lake,"3,000 for 2 (approx)",Italian,North Indian,Continental
Port 15,3.8,Salt Lake,East Kolkata,"1,600 for 2 (approx)",Chinese,North Indian,Continental
Loafer's Cafe,4.4,"City Centre 1,",Salt Lake,800 for 2 (approx),Continental,Italian,American
Angithi,3.9,"Mayur Residency Hotel,",Taltala,700 for 2 (approx),Chinese,North Indian,Continental
Cafe Stadia,3.9,Beliaghata,East Kolkata,700 for 2 (approx),North Indian,Chinese,Fast Food
Calcutta 64,4.4,Salt Lake,East Kolkata,800 for 2 (approx),Continental,Italian,Beverages
Afraa Lounge & Restaurant,4.1,"City Centre 1,",Salt Lake,"2,100 for 2 (approx)",Asian,Italian,North Indian
Zaairah,4.2,Salt Lake,East Kolkata,"1,200 for 2 (approx)",North Indian,Chinese,Italian
Kouzina Mining Co.,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Continental
Afraa Deli,4.0,"City Centre 1,",Salt Lake,"1,500 for 2 (approx)",Continental,Italian,European
Piccadilly Square,4.4,"Centre Point,",B B D Bagh,800 for 2 (approx),Continental,Italian,Desserts
Aamaze Dhaba,4.0,Kasba,South Kolkata,800 for 2 (approx),Chinese,North Indian,Bengali
Canteen Pub & Grub,4.1,"City Centre 1,",Salt Lake,"1,900 for 2 (approx)",Finger Food,Continental,Asian
Haka,4.2,"City Centre 1,",Salt Lake,900 for 2 (approx),Chinese,Beverages,Asian
Alfresco,4.2,"The Lalit Great Eastern Kolkata,",B B D Bagh,"3,000 for 2 (approx)",North Indian,Continental,Chinese
Le Coffee Creme,4.1,Salt Lake,East Kolkata,"1,000 for 2 (approx)",Continental,Italian,North Indian
K Local,4.0,"City Centre 1,",Salt Lake,"1,700 for 2 (approx)",Finger Food,North Indian,Fast Food
The Bakery,4.0,"The Lalit Great Eastern Kolkata,",B B D Bagh,"1,000 for 2 (approx)",Desserts,Italian,American
Calcutta Bakery Cafe,4.0,Salt Lake,East Kolkata,600 for 2 (approx),Chinese,Continental,Asian
Orkos Restaurant  And Lounge Bar,3.9,"City Centre 1,",Salt Lake,"2,200 for 2 (approx)",Chinese,North Indian,Continental
The Scoop,3.8,"City Centre 1,",Salt Lake,500 for 2 (approx),Chinese,North Indian,Fast Food
Aafreen Restaurant,4.3,Taltala,Central Kolkata,600 for 2 (approx),North Indian,Chinese,Mughlai
Snaptown,4.2,Salt Lake,East Kolkata,800 for 2 (approx),North Indian,Chinese,Fast Food
Dash of This and Dash of That,3.7,"City Centre 1,",Salt Lake,"2,000 for 2 (approx)",Chinese,Finger Food,Continental
Mirage - Poolside Bar & Cafe,4.1,"The Stadel,",Salt Lake,"2,500 for 2 (approx)",Italian,Asian,Continental
Raj Spanish Cafe,4.2,New Market,Central Kolkata,600 for 2 (approx),Italian,Spanish,Fast Food
Since 2016 Cafe,3.6,Salt Lake,East Kolkata,700 for 2 (approx),Continental,Fast Food,Beverages
Friday Release,4.2,Salt Lake,East Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Italian
New Empire Bar,4.2,New Market,Central Kolkata,"1,000 for 2 (approx)",Finger Food,North Indian,Chinese
Sand,4.3,"De Sovrani,",Salt Lake,"1,600 for 2 (approx)",North Indian,Continental,Italian
6 Ballygunge Place,4.2,Salt Lake,East Kolkata,800 for 2 (approx),Bengali,North Indian,Mughlai
Ambrosia Restaurant & Bar,4.2,Salt Lake,East Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Italian
Plush 28,4.2,Salt Lake,East Kolkata,"1,500 for 2 (approx)",North Indian,Chinese,Italian
First Innings,3.8,"The Stadel,",Salt Lake,"1,600 for 2 (approx)",North Indian,Chinese,Bengali
Anti Pasti,4.3,"Golden Tulip,",Salt Lake,"1,200 for 2 (approx)",Chinese,North Indian,Continental
The Bhoj Company,3.9,New Market,Central Kolkata,600 for 2 (approx),Bengali,Chinese,North Indian
Kouzina Marine,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Continental,North Indian,Italian
Ego Retro Lounge,3.6,"The Peerless Inn,",Esplanade,"3,400 for 2 (approx)",Finger Food,Chinese,Asian
Blue & Beyond,3.8,"The Lindsay Kolkata,",Dharmatala,"1,300 for 2 (approx)",Chinese,North Indian,Continental
Oudh 1590,4.3,Salt Lake,East Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
Peter Cat,4.3,Park Street,Central Kolkata,"1,000 for 2 (approx)",Continental,North Indian,Fast Food
Noir,4.1,"Golden Tulip,",Salt Lake,"1,400 for 2 (approx)",Continental,Chinese,North Indian
Scoop,3.8,"New Empire Cinema,",New Market,"1,000 for 2 (approx)",Fast Food,Continental,Beverages
Flambe,4.0,"Hotel The Sojourn,",Salt Lake,"1,000 for 2 (approx)",North Indian,Chinese,Bengali
Speak Easy,3.8,"New Empire Cinema,",New Market,"1,800 for 2 (approx)",Finger Food,Continental,North Indian
Loca Kitchen & Lounge,3.7,Salt Lake,East Kolkata,800 for 2 (approx),Italian,Continental,Chinese
JW Kitchen,4.3,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"3,500 for 2 (approx)",Continental,European,Pizza
Charnock’s,3.9,Salt Lake,East Kolkata,"1,400 for 2 (approx)",North Indian,Bengali,Seafood
Banjara,3.8,New Market,Central Kolkata,700 for 2 (approx),North Indian,Continental,Chinese
Mugs and Shots,3.7,Taltala,Central Kolkata,"1,000 for 2 (approx)",Continental,Italian,Mexican
Barista Coffee,3.7,"New Empire Cinema,",New Market,500 for 2 (approx),Beverages,Desserts,Fast Food
