name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Pawan Putra,4.2,Kankurgachhi,East Kolkata,"1,700 for 2 (approx)",Chinese,North Indian,Continental
Danish Restaurant,4.4,Machuabazar,North Kolkata,500 for 2 (approx),Mughlai,North Indian,
The Sugarr and Spice,3.5,Maniktala,North Kolkata,300 for 2 (approx),Desserts,Fast Food,
Monginis,,Kankurgachhi,East Kolkata,400 for 2 (approx),Desserts,Fast Food,
Krazy For Chocolates,,Kankurgachhi,East Kolkata,500 for 2 (approx),Desserts,,
Yolo Lounge,,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Continental
Ganguram & Sons,4,Maniktala,North Kolkata,200 for 2 (approx),Fast Food,,
Huff N Puff,,Phool Bagan,North Kolkata,700 for 2 (approx),Chinese,Fast Food,Continental
Chai Break - Kankurgachi,4.4,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,Italian,Mexican
Caafe 360 Degree,,Kankurgachhi,East Kolkata,"1,000 for 2 (approx)",Fast Food,Chinese,Italian
Go Green,4.1,Kankurgachhi,East Kolkata,"1,200 for 2 (approx)",Italian,North Indian,Chinese
@49,4.1,Maniktala,North Kolkata,600 for 2 (approx),Chinese,,
Aami Bangali,4.3,Sealdah,North Kolkata,700 for 2 (approx),Bengali,Seafood,
Falam,4.4,Kankurgachhi,East Kolkata,500 for 2 (approx),Health Food,Beverages,
Urbans Cafe,4.4,Girish Park,North Kolkata,500 for 2 (approx),Fast Food,,
The Tunnel,4.2,Kankurgachhi,East Kolkata,800 for 2 (approx),Chinese,North Indian,Continental
ChaiApps,3.5,Phool Bagan,North Kolkata,400 for 2 (approx),Continental,Italian,Fast Food
Honey Da Dhaba,3.6,Kankurgachhi,East Kolkata,600 for 2 (approx),North Indian,Mughlai,
Bake O Cake,4,Kankurgachhi,East Kolkata,400 for 2 (approx),Desserts,,
The London Shakes,3.9,Phool Bagan,North Kolkata,500 for 2 (approx),Fast Food,,
Bhojohori Manna,,Maniktala,North Kolkata,600 for 2 (approx),Bengali,Seafood,North Indian
Goofys Cafe,4.3,Maniktala,North Kolkata,"1,000 for 2 (approx)",North Indian,Chinese,Italian
Chowman,4.3,Maniktala,North Kolkata,"1,000 for 2 (approx)",Chinese,,
Hungry Hippo,,Girish Park,North Kolkata,400 for 2 (approx),Fast Food,,
Fantastic Food Story,4.3,Hati Bagan,North Kolkata,800 for 2 (approx),Chinese,North Indian,Continental
Food Station,4.3,College Street,North Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,South Indian
Mini Royal Cafe - Family Restaurant,,Hati Bagan,North Kolkata,800 for 2 (approx),North Indian,Chinese,
Monginis,4.3,Girish Park,North Kolkata,400 for 2 (approx),Desserts,Fast Food,
The Young Mug,,Hati Bagan,North Kolkata,400 for 2 (approx),Chinese,Fast Food,Beverages
Nalin Chandra Das & Sons,,Hati Bagan,North Kolkata,200 for 2 (approx),Desserts,,
Cave Cafe & Lounge,4.1,Girish Park,North Kolkata,800 for 2 (approx),Fast Food,Chinese,Beverages
Wow! Momo,4,Girish Park,North Kolkata,400 for 2 (approx),Tibetan,Fast Food,
C/o. Bangali,4.2,Hati Bagan,North Kolkata,800 for 2 (approx),Bengali,North Indian,Chinese
Karim's Original From Jama Masjid Delhi 6,,Hati Bagan,North Kolkata,"1,000 for 2 (approx)",North Indian,Mughlai,
Krazy For Chocolates,,"Mani Square,",Kankurgachhi,500 for 2 (approx),Desserts,,
Pizza Hut,,Shyambazar,North Kolkata,800 for 2 (approx),Pizza,Fast Food,
Crazy 4 Cakes,,Bara Bazar,North Kolkata,300 for 2 (approx),Desserts,,
Nalin Chandra Das & Sons,,Girish Park,North Kolkata,200 for 2 (approx),Desserts,,
KFC,4,Shyambazar,North Kolkata,600 for 2 (approx),Burger,Fast Food,
Hoppipola,4.4,"Mani Square,",Kankurgachhi,"1,800 for 2 (approx)",Finger Food,Italian,
Haka,4.2,"Mani Square,",Kankurgachhi,800 for 2 (approx),Chinese,,
Wow! Momo,3.5,Ultadanga,North Kolkata,400 for 2 (approx),Tibetan,Fast Food,
Crazy 4 Cakes,,Kankurgachhi,East Kolkata,300 for 2 (approx),Desserts,,
Flame & Grill,4.3,"Mani Square,",Kankurgachhi,"2,000 for 2 (approx)",North Indian,Bengali,
Soul Cafe,,E.M Bypass,East Kolkata,600 for 2 (approx),Fast Food,,
